Step 1 | loss: 1.7420353889465332
Step 1 | grad_norm: 3.3338358402252197
Step 1 | learning_rate: 0.0001
Step 1 | epoch: 0.008888888888888889
Step 2 | loss: 1.7559771537780762
Step 2 | grad_norm: 2.2733678817749023
Step 2 | learning_rate: 9.970501474926254e-05
Step 2 | epoch: 0.017777777777777778
Step 3 | loss: 1.7065458297729492
Step 3 | grad_norm: 2.9404096603393555
Step 3 | learning_rate: 9.941002949852508e-05
Step 3 | epoch: 0.02666666666666667
Step 4 | loss: 1.605485200881958
Step 4 | grad_norm: 2.7470483779907227
Step 4 | learning_rate: 9.911504424778762e-05
Step 4 | epoch: 0.035555555555555556
Step 5 | loss: 1.5056989192962646
Step 5 | grad_norm: 2.8767378330230713
Step 5 | learning_rate: 9.882005899705014e-05
Step 5 | epoch: 0.044444444444444446
Step 6 | loss: 1.4369817972183228
Step 6 | grad_norm: 3.216629981994629
Step 6 | learning_rate: 9.85250737463127e-05
Step 6 | epoch: 0.05333333333333334
Step 7 | loss: 1.2668681144714355
Step 7 | grad_norm: 3.4129693508148193
Step 7 | learning_rate: 9.823008849557522e-05
Step 7 | epoch: 0.06222222222222222
Step 8 | loss: 1.3485735654830933
Step 8 | grad_norm: 4.275066375732422
Step 8 | learning_rate: 9.793510324483777e-05
Step 8 | epoch: 0.07111111111111111
Step 9 | loss: 1.3999534845352173
Step 9 | grad_norm: 4.233871936798096
Step 9 | learning_rate: 9.76401179941003e-05
Step 9 | epoch: 0.08
Step 10 | loss: 1.171308159828186
Step 10 | grad_norm: 3.935659646987915
Step 10 | learning_rate: 9.734513274336283e-05
Step 10 | epoch: 0.08888888888888889
Step 11 | loss: 1.437175989151001
Step 11 | grad_norm: 6.153777599334717
Step 11 | learning_rate: 9.705014749262537e-05
Step 11 | epoch: 0.09777777777777778
Step 12 | loss: 1.1567401885986328
Step 12 | grad_norm: 4.505079746246338
Step 12 | learning_rate: 9.675516224188791e-05
Step 12 | epoch: 0.10666666666666667
Step 13 | loss: 1.245755672454834
Step 13 | grad_norm: 5.309363842010498
Step 13 | learning_rate: 9.646017699115044e-05
Step 13 | epoch: 0.11555555555555555
Step 14 | loss: 1.258330225944519
Step 14 | grad_norm: 5.3352766036987305
Step 14 | learning_rate: 9.616519174041299e-05
Step 14 | epoch: 0.12444444444444444
Step 15 | loss: 1.2971742153167725
Step 15 | grad_norm: 4.055401802062988
Step 15 | learning_rate: 9.587020648967551e-05
Step 15 | epoch: 0.13333333333333333
Step 16 | loss: 1.034523606300354
Step 16 | grad_norm: 3.4597976207733154
Step 16 | learning_rate: 9.557522123893806e-05
Step 16 | epoch: 0.14222222222222222
Step 17 | loss: 1.2448726892471313
Step 17 | grad_norm: 4.12960958480835
Step 17 | learning_rate: 9.528023598820059e-05
Step 17 | epoch: 0.1511111111111111
Step 18 | loss: 1.2311034202575684
Step 18 | grad_norm: 3.644775390625
Step 18 | learning_rate: 9.498525073746313e-05
Step 18 | epoch: 0.16
Step 19 | loss: 0.9000757932662964
Step 19 | grad_norm: 2.6259312629699707
Step 19 | learning_rate: 9.469026548672566e-05
Step 19 | epoch: 0.1688888888888889
Step 20 | loss: 1.253853678703308
Step 20 | grad_norm: 4.078970432281494
Step 20 | learning_rate: 9.43952802359882e-05
Step 20 | epoch: 0.17777777777777778
Step 21 | loss: 1.4366346597671509
