Step 1 | loss: 3.8825724124908447
Step 1 | grad_norm: 0.6205847859382629
Step 1 | learning_rate: 0.0001
Step 1 | epoch: 0.0022222222222222222
Step 2 | loss: 5.186185359954834
Step 2 | grad_norm: 0.6523362398147583
Step 2 | learning_rate: 9.992592592592593e-05
Step 2 | epoch: 0.0044444444444444444
Step 3 | loss: 4.174501895904541
Step 3 | grad_norm: 1.0111955404281616
Step 3 | learning_rate: 9.985185185185185e-05
Step 3 | epoch: 0.006666666666666667
Step 4 | loss: 3.873100996017456
Step 4 | grad_norm: 0.5863860249519348
Step 4 | learning_rate: 9.977777777777779e-05
Step 4 | epoch: 0.008888888888888889
Step 5 | loss: 4.201606750488281
Step 5 | grad_norm: 0.7873097658157349
Step 5 | learning_rate: 9.970370370370371e-05
Step 5 | epoch: 0.011111111111111112
Step 6 | loss: 3.7268354892730713
Step 6 | grad_norm: 0.7873550653457642
Step 6 | learning_rate: 9.962962962962963e-05
Step 6 | epoch: 0.013333333333333334
Step 7 | loss: 3.9995837211608887
Step 7 | grad_norm: 0.8807162642478943
Step 7 | learning_rate: 9.955555555555556e-05
Step 7 | epoch: 0.015555555555555555
Step 8 | loss: 4.59577751159668
Step 8 | grad_norm: 0.6210141181945801
Step 8 | learning_rate: 9.948148148148148e-05
Step 8 | epoch: 0.017777777777777778
Step 9 | loss: 3.853419780731201
Step 9 | grad_norm: 1.611197590827942
Step 9 | learning_rate: 9.940740740740742e-05
Step 9 | epoch: 0.02
Step 10 | loss: 4.270786762237549
Step 10 | grad_norm: 0.83351731300354
Step 10 | learning_rate: 9.933333333333334e-05
Step 10 | epoch: 0.022222222222222223
Step 11 | loss: 4.0815839767456055
Step 11 | grad_norm: 0.8098944425582886
Step 11 | learning_rate: 9.925925925925926e-05
Step 11 | epoch: 0.024444444444444446
Step 12 | loss: 4.0156073570251465
Step 12 | grad_norm: 0.7396718859672546
Step 12 | learning_rate: 9.918518518518519e-05
Step 12 | epoch: 0.02666666666666667
Step 13 | loss: 4.347691535949707
Step 13 | grad_norm: 0.6328076124191284
Step 13 | learning_rate: 9.911111111111112e-05
Step 13 | epoch: 0.028888888888888888
Step 14 | loss: 3.7777063846588135
Step 14 | grad_norm: 0.8034061789512634
Step 14 | learning_rate: 9.903703703703705e-05
Step 14 | epoch: 0.03111111111111111
Step 15 | loss: 4.2076520919799805
Step 15 | grad_norm: 0.809776246547699
Step 15 | learning_rate: 9.896296296296297e-05
Step 15 | epoch: 0.03333333333333333
Step 16 | loss: 3.8421552181243896
Step 16 | grad_norm: 0.7145114541053772
Step 16 | learning_rate: 9.888888888888889e-05
Step 16 | epoch: 0.035555555555555556
Step 17 | loss: 4.755592346191406
Step 17 | grad_norm: 0.8693427443504333
Step 17 | learning_rate: 9.881481481481482e-05
Step 17 | epoch: 0.03777777777777778
Step 18 | loss: 3.4725964069366455
Step 18 | grad_norm: 0.6617355346679688
Step 18 | learning_rate: 9.874074074074074e-05
Step 18 | epoch: 0.04
Step 19 | loss: 3.8242406845092773
Step 19 | grad_norm: 1.1502190828323364
Step 19 | learning_rate: 9.866666666666668e-05
Step 19 | epoch: 0.042222222222222223
Step 20 | loss: 3.560502290725708
Step 20 | grad_norm: 0.7810291647911072
Step 20 | learning_rate: 9.85925925925926e-05
Step 20 | epoch: 0.044444444444444446
Step 21 | loss: 4.79761266708374
Step 21 | grad_norm: 1.2062958478927612
Step 21 | learning_rate: 9.851851851851852e-05
Step 21 | epoch: 0.04666666666666667
Step 22 | loss: 4.351813793182373
Step 22 | grad_norm: 1.240935206413269
Step 22 | learning_rate: 9.844444444444444e-05
Step 22 | epoch: 0.04888888888888889
Step 23 | loss: 5.638345718383789
Step 23 | grad_norm: 1.0484440326690674
Step 23 | learning_rate: 9.837037037037038e-05
Step 23 | epoch: 0.051111111111111114
Step 24 | loss: 3.532668113708496
Step 24 | grad_norm: 0.6677753925323486
Step 24 | learning_rate: 9.829629629629629e-05
Step 24 | epoch: 0.05333333333333334
Step 25 | loss: 3.998908281326294
Step 25 | grad_norm: 0.7564359307289124
Step 25 | learning_rate: 9.822222222222223e-05
Step 25 | epoch: 0.05555555555555555
Step 26 | loss: 3.7290306091308594
Step 26 | grad_norm: 0.8538809418678284
Step 26 | learning_rate: 9.814814814814815e-05
Step 26 | epoch: 0.057777777777777775
Step 27 | loss: 4.318568229675293
Step 27 | grad_norm: 0.8092991709709167
Step 27 | learning_rate: 9.807407407407407e-05
Step 27 | epoch: 0.06
Step 28 | loss: 3.5699524879455566
Step 28 | grad_norm: 0.9995025396347046
Step 28 | learning_rate: 9.8e-05
Step 28 | epoch: 0.06222222222222222
Step 29 | loss: 4.668148994445801
Step 29 | grad_norm: 1.275427222251892
Step 29 | learning_rate: 9.792592592592593e-05
Step 29 | epoch: 0.06444444444444444
Step 30 | loss: 4.94503927230835
Step 30 | grad_norm: 1.2772005796432495
Step 30 | learning_rate: 9.785185185185186e-05
Step 30 | epoch: 0.06666666666666667
Step 31 | loss: 3.610184907913208
Step 31 | grad_norm: 1.064988136291504
Step 31 | learning_rate: 9.777777777777778e-05
Step 31 | epoch: 0.06888888888888889
Step 32 | loss: 4.252486705780029
Step 32 | grad_norm: 1.0260618925094604
Step 32 | learning_rate: 9.77037037037037e-05
Step 32 | epoch: 0.07111111111111111
Step 33 | loss: 3.5182807445526123
Step 33 | grad_norm: 0.8214297294616699
Step 33 | learning_rate: 9.762962962962964e-05
Step 33 | epoch: 0.07333333333333333
Step 34 | loss: 4.101268291473389
Step 34 | grad_norm: 0.8861885070800781
Step 34 | learning_rate: 9.755555555555555e-05
Step 34 | epoch: 0.07555555555555556
Step 35 | loss: 4.646877288818359
Step 35 | grad_norm: 1.1290384531021118
Step 35 | learning_rate: 9.748148148148149e-05
Step 35 | epoch: 0.07777777777777778
Step 36 | loss: 5.178895473480225
Step 36 | grad_norm: 1.0592589378356934
Step 36 | learning_rate: 9.740740740740741e-05
Step 36 | epoch: 0.08
Step 37 | loss: 4.908387184143066
Step 37 | grad_norm: 1.7822515964508057
Step 37 | learning_rate: 9.733333333333335e-05
Step 37 | epoch: 0.08222222222222222
Step 38 | loss: 3.600625514984131
Step 38 | grad_norm: 1.0063505172729492
Step 38 | learning_rate: 9.725925925925926e-05
Step 38 | epoch: 0.08444444444444445
Step 39 | loss: 3.6366562843322754
Step 39 | grad_norm: 1.1389929056167603
Step 39 | learning_rate: 9.718518518518519e-05
Step 39 | epoch: 0.08666666666666667
Step 40 | loss: 3.7940890789031982
Step 40 | grad_norm: 0.9699360132217407
Step 40 | learning_rate: 9.711111111111111e-05
Step 40 | epoch: 0.08888888888888889
Step 41 | loss: 4.030343055725098
Step 41 | grad_norm: 1.0546607971191406
Step 41 | learning_rate: 9.703703703703704e-05
Step 41 | epoch: 0.09111111111111111
Step 42 | loss: 4.783731937408447
Step 42 | grad_norm: 1.262649416923523
Step 42 | learning_rate: 9.696296296296296e-05
Step 42 | epoch: 0.09333333333333334
Step 43 | loss: 4.654078006744385
Step 43 | grad_norm: 1.0184215307235718
