Step 10 | loss: 2.206424331665039
Step 10 | grad_norm: 0.8103867769241333
Step 10 | learning_rate: 9.884615384615386e-05
Step 10 | epoch: 0.03855421686746988
Step 20 | loss: 1.6923515319824218
Step 20 | grad_norm: 1.2830700874328613
Step 20 | learning_rate: 9.756410256410257e-05
Step 20 | epoch: 0.07710843373493977
Step 30 | loss: 1.4475696563720704
Step 30 | grad_norm: 1.5703837871551514
Step 30 | learning_rate: 9.628205128205129e-05
Step 30 | epoch: 0.11566265060240964
Step 40 | loss: 1.2991622924804687
Step 40 | grad_norm: 1.5081181526184082
Step 40 | learning_rate: 9.5e-05
Step 40 | epoch: 0.15421686746987953
Step 50 | loss: 1.310050106048584
Step 50 | grad_norm: 1.187841534614563
Step 50 | learning_rate: 9.371794871794872e-05
Step 50 | epoch: 0.1927710843373494
Step 60 | loss: 1.2352224349975587
Step 60 | grad_norm: 1.2536088228225708
Step 60 | learning_rate: 9.243589743589745e-05
Step 60 | epoch: 0.23132530120481928
Step 70 | loss: 1.254198932647705
Step 70 | grad_norm: 1.21150803565979
Step 70 | learning_rate: 9.115384615384615e-05
Step 70 | epoch: 0.26987951807228916
Step 80 | loss: 1.258408260345459
Step 80 | grad_norm: 1.2267637252807617
Step 80 | learning_rate: 8.987179487179488e-05
Step 80 | epoch: 0.30843373493975906
Step 90 | loss: 1.2570658683776856
Step 90 | grad_norm: 1.4275139570236206
Step 90 | learning_rate: 8.858974358974359e-05
Step 90 | epoch: 0.3469879518072289
Step 100 | loss: 1.2042497634887694
Step 100 | grad_norm: 1.7414021492004395
Step 100 | learning_rate: 8.730769230769232e-05
Step 100 | epoch: 0.3855421686746988
Step 110 | loss: 1.2999011993408203
Step 110 | grad_norm: 1.438689947128296
Step 110 | learning_rate: 8.602564102564103e-05
Step 110 | epoch: 0.42409638554216866
Step 120 | loss: 1.259638500213623
Step 120 | grad_norm: 1.3796145915985107
Step 120 | learning_rate: 8.474358974358975e-05
Step 120 | epoch: 0.46265060240963857
Step 130 | loss: 1.2520917892456054
Step 130 | grad_norm: 1.970658302307129
Step 130 | learning_rate: 8.346153846153847e-05
Step 130 | epoch: 0.5012048192771085
Step 140 | loss: 1.2742610931396485
Step 140 | grad_norm: 1.6161645650863647
Step 140 | learning_rate: 8.217948717948718e-05
Step 140 | epoch: 0.5397590361445783
Step 150 | loss: 1.2269189834594727
Step 150 | grad_norm: 1.7148284912109375
Step 150 | learning_rate: 8.08974358974359e-05
Step 150 | epoch: 0.5783132530120482
Step 160 | loss: 1.1999335289001465
Step 160 | grad_norm: 1.2778469324111938
Step 160 | learning_rate: 7.961538461538461e-05
Step 160 | epoch: 0.6168674698795181
Step 170 | loss: 1.2277901649475098
Step 170 | grad_norm: 1.566985845565796
Step 170 | learning_rate: 7.833333333333333e-05
Step 170 | epoch: 0.655421686746988
Step 180 | loss: 1.226875114440918
Step 180 | grad_norm: 1.813415288925171
Step 180 | learning_rate: 7.705128205128206e-05
Step 180 | epoch: 0.6939759036144578
Step 190 | loss: 1.1887116432189941
Step 190 | grad_norm: 1.5704150199890137
Step 190 | learning_rate: 7.576923076923076e-05
Step 190 | epoch: 0.7325301204819277
Step 200 | loss: 1.1818785667419434
Step 200 | grad_norm: 1.509177803993225
Step 200 | learning_rate: 7.44871794871795e-05
Step 200 | epoch: 0.7710843373493976
Step 210 | loss: 1.1969313621520996
Step 210 | grad_norm: 1.7796496152877808
Step 210 | learning_rate: 7.320512820512821e-05
Step 210 | epoch: 0.8096385542168675
Step 220 | loss: 1.1745793342590332
Step 220 | grad_norm: 1.4011621475219727
Step 220 | learning_rate: 7.192307692307693e-05
Step 220 | epoch: 0.8481927710843373
Step 230 | loss: 1.189006233215332
Step 230 | grad_norm: 1.5690159797668457
Step 230 | learning_rate: 7.064102564102564e-05
Step 230 | epoch: 0.8867469879518072
Step 240 | loss: 1.2564076423645019
Step 240 | grad_norm: 1.4212548732757568
Step 240 | learning_rate: 6.935897435897436e-05
Step 240 | epoch: 0.9253012048192771
Step 250 | loss: 1.2300897598266602
Step 250 | grad_norm: 1.5518550872802734
Step 250 | learning_rate: 6.807692307692309e-05
Step 250 | epoch: 0.963855421686747
Step 260 | loss: 1.1746654510498047
Step 260 | grad_norm: 2.7598814964294434
Step 260 | learning_rate: 6.679487179487179e-05
Step 260 | epoch: 1.0
Step 270 | loss: 1.0647375106811523
Step 270 | grad_norm: 1.620152473449707
Step 270 | learning_rate: 6.551282051282052e-05
Step 270 | epoch: 1.03855421686747
Step 280 | loss: 1.1080409049987794
Step 280 | grad_norm: 1.911185383796692
Step 280 | learning_rate: 6.423076923076924e-05
Step 280 | epoch: 1.0771084337349397
Step 290 | loss: 1.023460865020752
Step 290 | grad_norm: 1.6905708312988281
Step 290 | learning_rate: 6.294871794871795e-05
Step 290 | epoch: 1.1156626506024097
Step 300 | loss: 1.046984577178955
Step 300 | grad_norm: 1.691894292831421
Step 300 | learning_rate: 6.166666666666667e-05
Step 300 | epoch: 1.1542168674698796
Step 310 | loss: 1.0426555633544923
Step 310 | grad_norm: 1.8801101446151733
Step 310 | learning_rate: 6.038461538461539e-05
Step 310 | epoch: 1.1927710843373494
Step 320 | loss: 1.052673053741455
Step 320 | grad_norm: 1.8393099308013916
Step 320 | learning_rate: 5.910256410256411e-05
Step 320 | epoch: 1.2313253012048193
Step 330 | loss: 1.0738268852233888
Step 330 | grad_norm: 2.128718852996826
Step 330 | learning_rate: 5.7820512820512826e-05
Step 330 | epoch: 1.269879518072289
Step 340 | loss: 1.0628613471984862
Step 340 | grad_norm: 1.6093922853469849
Step 340 | learning_rate: 5.653846153846154e-05
Step 340 | epoch: 1.308433734939759
Step 350 | loss: 1.1197086334228517
Step 350 | grad_norm: 2.1149747371673584
Step 350 | learning_rate: 5.5256410256410265e-05
Step 350 | epoch: 1.346987951807229
Step 360 | loss: 1.031206226348877
Step 360 | grad_norm: 1.9091224670410156
Step 360 | learning_rate: 5.3974358974358975e-05
Step 360 | epoch: 1.3855421686746987
Step 370 | loss: 1.0622978210449219
Step 370 | grad_norm: 1.7304245233535767
Step 370 | learning_rate: 5.26923076923077e-05
Step 370 | epoch: 1.4240963855421687
Step 380 | loss: 1.1479658126831054
Step 380 | grad_norm: 1.8299593925476074
Step 380 | learning_rate: 5.141025641025641e-05
Step 380 | epoch: 1.4626506024096386
Step 390 | loss: 1.0605742454528808
