Step 1 | loss: 4.088625907897949
Step 1 | grad_norm: 0.6822727918624878
Step 1 | learning_rate: 0.0001
Step 1 | epoch: 0.0009633911368015414
Step 2 | loss: 4.473577976226807
Step 2 | grad_norm: 0.6480823755264282
Step 2 | learning_rate: 9.996788696210661e-05
Step 2 | epoch: 0.0019267822736030828
Step 3 | loss: 3.9802310466766357
Step 3 | grad_norm: 0.778215229511261
Step 3 | learning_rate: 9.993577392421323e-05
Step 3 | epoch: 0.002890173410404624
Step 4 | loss: 4.229485034942627
Step 4 | grad_norm: 1.1202521324157715
Step 4 | learning_rate: 9.990366088631985e-05
Step 4 | epoch: 0.0038535645472061657
Step 5 | loss: 4.954882621765137
Step 5 | grad_norm: 0.7381162643432617
Step 5 | learning_rate: 9.987154784842646e-05
Step 5 | epoch: 0.004816955684007707
Step 6 | loss: 4.571215629577637
Step 6 | grad_norm: 0.7987918257713318
Step 6 | learning_rate: 9.983943481053308e-05
Step 6 | epoch: 0.005780346820809248
Step 7 | loss: 4.527415752410889
Step 7 | grad_norm: 0.7923184037208557
Step 7 | learning_rate: 9.980732177263969e-05
Step 7 | epoch: 0.00674373795761079
Step 8 | loss: 3.85671329498291
Step 8 | grad_norm: 0.6859886050224304
Step 8 | learning_rate: 9.977520873474631e-05
Step 8 | epoch: 0.007707129094412331
Step 9 | loss: 3.7919273376464844
Step 9 | grad_norm: 0.7153675556182861
Step 9 | learning_rate: 9.974309569685293e-05
Step 9 | epoch: 0.008670520231213872
Step 10 | loss: 4.33343505859375
Step 10 | grad_norm: 0.6899328827857971
Step 10 | learning_rate: 9.971098265895954e-05
Step 10 | epoch: 0.009633911368015413
Step 11 | loss: 3.6303341388702393
Step 11 | grad_norm: 0.7346368432044983
Step 11 | learning_rate: 9.967886962106616e-05
Step 11 | epoch: 0.010597302504816955
Step 12 | loss: 4.633975505828857
Step 12 | grad_norm: 0.7491808533668518
Step 12 | learning_rate: 9.964675658317277e-05
Step 12 | epoch: 0.011560693641618497
Step 13 | loss: 4.138704776763916
Step 13 | grad_norm: 0.6344655752182007
Step 13 | learning_rate: 9.961464354527939e-05
Step 13 | epoch: 0.012524084778420038
Step 14 | loss: 4.182367324829102
Step 14 | grad_norm: 0.6339722871780396
Step 14 | learning_rate: 9.958253050738601e-05
Step 14 | epoch: 0.01348747591522158
Step 15 | loss: 3.905498743057251
Step 15 | grad_norm: 0.6345131397247314
Step 15 | learning_rate: 9.955041746949262e-05
Step 15 | epoch: 0.014450867052023121
Step 16 | loss: 5.260451316833496
Step 16 | grad_norm: 0.816376268863678
Step 16 | learning_rate: 9.951830443159922e-05
Step 16 | epoch: 0.015414258188824663
Step 17 | loss: 5.111060619354248
Step 17 | grad_norm: 1.1604979038238525
Step 17 | learning_rate: 9.948619139370585e-05
Step 17 | epoch: 0.016377649325626204
Step 18 | loss: 4.013152599334717
Step 18 | grad_norm: 0.6846078634262085
Step 18 | learning_rate: 9.945407835581247e-05
Step 18 | epoch: 0.017341040462427744
Step 19 | loss: 2.7868449687957764
Step 19 | grad_norm: 0.6786662936210632
Step 19 | learning_rate: 9.942196531791907e-05
Step 19 | epoch: 0.018304431599229287
Step 20 | loss: 4.383124828338623
Step 20 | grad_norm: 1.231497883796692
Step 20 | learning_rate: 9.93898522800257e-05
Step 20 | epoch: 0.019267822736030827
Step 21 | loss: 4.255809307098389
Step 21 | grad_norm: 1.2949062585830688
Step 21 | learning_rate: 9.93577392421323e-05
Step 21 | epoch: 0.02023121387283237
Step 22 | loss: 4.596851348876953
Step 22 | grad_norm: 0.9173665642738342
Step 22 | learning_rate: 9.932562620423894e-05
Step 22 | epoch: 0.02119460500963391
Step 23 | loss: 4.318512439727783
Step 23 | grad_norm: 1.0708271265029907
Step 23 | learning_rate: 9.929351316634554e-05
Step 23 | epoch: 0.022157996146435453
Step 24 | loss: 4.537840366363525
Step 24 | grad_norm: 0.9201270341873169
Step 24 | learning_rate: 9.926140012845215e-05
Step 24 | epoch: 0.023121387283236993
Step 25 | loss: 3.8841552734375
Step 25 | grad_norm: 0.8986729383468628
Step 25 | learning_rate: 9.922928709055877e-05
Step 25 | epoch: 0.024084778420038536
Step 26 | loss: 4.465268611907959
Step 26 | grad_norm: 0.9235057234764099
Step 26 | learning_rate: 9.91971740526654e-05
Step 26 | epoch: 0.025048169556840076
Step 27 | loss: 4.267496585845947
Step 27 | grad_norm: 0.9016082286834717
Step 27 | learning_rate: 9.9165061014772e-05
Step 27 | epoch: 0.02601156069364162
Step 28 | loss: 4.590764045715332
Step 28 | grad_norm: 0.8248746395111084
Step 28 | learning_rate: 9.913294797687862e-05
Step 28 | epoch: 0.02697495183044316
Step 29 | loss: 4.014322757720947
