Step 1 | loss: 1.8663930892944336
Step 1 | grad_norm: 2.5483145713806152
Step 1 | learning_rate: 0.0001
Step 1 | epoch: 0.0038554216867469878
Step 2 | loss: 1.863089680671692
Step 2 | grad_norm: 2.534724473953247
Step 2 | learning_rate: 9.987179487179488e-05
Step 2 | epoch: 0.0077108433734939755
Step 3 | loss: 1.8462257385253906
Step 3 | grad_norm: 2.8631911277770996
Step 3 | learning_rate: 9.974358974358975e-05
Step 3 | epoch: 0.011566265060240964
Step 4 | loss: 1.984988808631897
Step 4 | grad_norm: 4.148845672607422
Step 4 | learning_rate: 9.961538461538463e-05
Step 4 | epoch: 0.015421686746987951
Step 5 | loss: 1.3679523468017578
Step 5 | grad_norm: 3.2478713989257812
Step 5 | learning_rate: 9.948717948717949e-05
Step 5 | epoch: 0.01927710843373494
Step 6 | loss: 1.5671250820159912
Step 6 | grad_norm: 7.204312324523926
Step 6 | learning_rate: 9.935897435897437e-05
Step 6 | epoch: 0.02313253012048193
Step 7 | loss: 1.5068174600601196
Step 7 | grad_norm: 3.7189688682556152
Step 7 | learning_rate: 9.923076923076923e-05
Step 7 | epoch: 0.026987951807228915
Step 8 | loss: 1.2745492458343506
Step 8 | grad_norm: 3.3182156085968018
Step 8 | learning_rate: 9.910256410256411e-05
Step 8 | epoch: 0.030843373493975902
Step 9 | loss: 1.495140552520752
Step 9 | grad_norm: 4.757673263549805
Step 9 | learning_rate: 9.897435897435898e-05
Step 9 | epoch: 0.03469879518072289
Step 10 | loss: 1.3139151334762573
Step 10 | grad_norm: 5.004037380218506
Step 10 | learning_rate: 9.884615384615386e-05
Step 10 | epoch: 0.03855421686746988
Step 11 | loss: 1.5640233755111694
Step 11 | grad_norm: 5.448366165161133
Step 11 | learning_rate: 9.871794871794872e-05
Step 11 | epoch: 0.042409638554216866
Step 12 | loss: 1.2447729110717773
Step 12 | grad_norm: 5.06779670715332
Step 12 | learning_rate: 9.85897435897436e-05
Step 12 | epoch: 0.04626506024096386
Step 13 | loss: 1.484753131866455
Step 13 | grad_norm: 4.5868611335754395
Step 13 | learning_rate: 9.846153846153848e-05
Step 13 | epoch: 0.05012048192771084
Step 14 | loss: 1.2423263788223267
Step 14 | grad_norm: 5.372990608215332
Step 14 | learning_rate: 9.833333333333333e-05
Step 14 | epoch: 0.05397590361445783
Step 15 | loss: 1.213044285774231
Step 15 | grad_norm: 3.9955391883850098
Step 15 | learning_rate: 9.820512820512821e-05
Step 15 | epoch: 0.05783132530120482
Step 16 | loss: 1.2384930849075317
Step 16 | grad_norm: 4.151424884796143
Step 16 | learning_rate: 9.807692307692307e-05
Step 16 | epoch: 0.061686746987951804
Step 17 | loss: 1.2592164278030396
Step 17 | grad_norm: 3.9038901329040527
Step 17 | learning_rate: 9.794871794871795e-05
Step 17 | epoch: 0.0655421686746988
Step 18 | loss: 1.03211510181427
Step 18 | grad_norm: 3.555330276489258
Step 18 | learning_rate: 9.782051282051282e-05
Step 18 | epoch: 0.06939759036144579
Step 19 | loss: 1.2331302165985107
Step 19 | grad_norm: 3.935448169708252
Step 19 | learning_rate: 9.76923076923077e-05
Step 19 | epoch: 0.07325301204819278
Step 20 | loss: 1.2173383235931396
Step 20 | grad_norm: 3.7736656665802
Step 20 | learning_rate: 9.756410256410257e-05
Step 20 | epoch: 0.07710843373493977
Step 21 | loss: 1.1025359630584717
Step 21 | grad_norm: 3.4250988960266113
Step 21 | learning_rate: 9.743589743589744e-05
Step 21 | epoch: 0.08096385542168674
Step 22 | loss: 1.3002897500991821
Step 22 | grad_norm: 3.5340147018432617
Step 22 | learning_rate: 9.730769230769232e-05
Step 22 | epoch: 0.08481927710843373
Step 23 | loss: 0.9490368366241455
Step 23 | grad_norm: 3.246586322784424
Step 23 | learning_rate: 9.717948717948718e-05
Step 23 | epoch: 0.08867469879518072
Step 24 | loss: 1.315802812576294
Step 24 | grad_norm: 3.9686076641082764
Step 24 | learning_rate: 9.705128205128206e-05
Step 24 | epoch: 0.09253012048192771
Step 25 | loss: 1.1190948486328125
Step 25 | grad_norm: 4.118720531463623
Step 25 | learning_rate: 9.692307692307692e-05
Step 25 | epoch: 0.0963855421686747
Step 26 | loss: 1.143465518951416
Step 26 | grad_norm: 4.057266712188721
Step 26 | learning_rate: 9.67948717948718e-05
Step 26 | epoch: 0.10024096385542168
Step 27 | loss: 1.415612816810608
Step 27 | grad_norm: 4.0577802658081055
Step 27 | learning_rate: 9.666666666666667e-05
Step 27 | epoch: 0.10409638554216867
Step 28 | loss: 1.2566932439804077
Step 28 | grad_norm: 4.751467704772949
Step 28 | learning_rate: 9.653846153846155e-05
Step 28 | epoch: 0.10795180722891566
Step 29 | loss: 0.9706935882568359
Step 29 | grad_norm: 3.834317445755005
Step 29 | learning_rate: 9.641025641025641e-05
Step 29 | epoch: 0.11180722891566265
Step 30 | loss: 1.2808297872543335
Step 30 | grad_norm: 4.592613220214844
Step 30 | learning_rate: 9.628205128205129e-05
Step 30 | epoch: 0.11566265060240964
Step 31 | loss: 0.951763391494751
Step 31 | grad_norm: 3.7014129161834717
Step 31 | learning_rate: 9.615384615384617e-05
Step 31 | epoch: 0.11951807228915663
Step 32 | loss: 1.1869267225265503
Step 32 | grad_norm: 3.7198126316070557
Step 32 | learning_rate: 9.602564102564103e-05
Step 32 | epoch: 0.12337349397590361
Step 33 | loss: 1.0227880477905273
Step 33 | grad_norm: 4.5316619873046875
Step 33 | learning_rate: 9.589743589743591e-05
Step 33 | epoch: 0.1272289156626506
Step 34 | loss: 1.163662314414978
Step 34 | grad_norm: 3.470564603805542
Step 34 | learning_rate: 9.576923076923078e-05
