Step 10 | loss: 2.6090566635131838
Step 10 | grad_norm: 0.9357250332832336
Step 10 | learning_rate: 9.884615384615386e-05
Step 10 | epoch: 0.038535645472061654
Step 20 | loss: 2.2587814331054688
Step 20 | grad_norm: 1.1202237606048584
Step 20 | learning_rate: 9.756410256410257e-05
Step 20 | epoch: 0.07707129094412331
Step 30 | loss: 1.9902860641479492
Step 30 | grad_norm: 1.2067936658859253
Step 30 | learning_rate: 9.628205128205129e-05
Step 30 | epoch: 0.11560693641618497
Step 40 | loss: 1.6780923843383788
Step 40 | grad_norm: 1.5112605094909668
Step 40 | learning_rate: 9.5e-05
Step 40 | epoch: 0.15414258188824662
Step 50 | loss: 1.7640592575073242
Step 50 | grad_norm: 1.302623987197876
Step 50 | learning_rate: 9.371794871794872e-05
Step 50 | epoch: 0.1926782273603083
Step 60 | loss: 1.6195392608642578
Step 60 | grad_norm: 1.2638047933578491
Step 60 | learning_rate: 9.243589743589745e-05
Step 60 | epoch: 0.23121387283236994
Step 70 | loss: 1.6386308670043945
Step 70 | grad_norm: 1.242840051651001
Step 70 | learning_rate: 9.115384615384615e-05
Step 70 | epoch: 0.2697495183044316
Step 80 | loss: 1.6728851318359375
Step 80 | grad_norm: 1.546386480331421
Step 80 | learning_rate: 8.987179487179488e-05
Step 80 | epoch: 0.30828516377649323
Step 90 | loss: 1.5661144256591797
Step 90 | grad_norm: 1.3090425729751587
Step 90 | learning_rate: 8.858974358974359e-05
Step 90 | epoch: 0.3468208092485549
Step 100 | loss: 1.5834539413452149
Step 100 | grad_norm: 1.3920080661773682
Step 100 | learning_rate: 8.730769230769232e-05
Step 100 | epoch: 0.3853564547206166
Step 110 | loss: 1.7036815643310548
Step 110 | grad_norm: 1.3653217554092407
Step 110 | learning_rate: 8.602564102564103e-05
Step 110 | epoch: 0.4238921001926782
Step 120 | loss: 1.669204330444336
Step 120 | grad_norm: 1.30878484249115
Step 120 | learning_rate: 8.474358974358975e-05
Step 120 | epoch: 0.4624277456647399
Step 130 | loss: 1.7299932479858398
Step 130 | grad_norm: 1.8817404508590698
Step 130 | learning_rate: 8.346153846153847e-05
Step 130 | epoch: 0.5009633911368016
Step 140 | loss: 1.6830154418945313
Step 140 | grad_norm: 1.474470615386963
Step 140 | learning_rate: 8.217948717948718e-05
Step 140 | epoch: 0.5394990366088632
Step 150 | loss: 1.570826244354248
Step 150 | grad_norm: 1.2774745225906372
Step 150 | learning_rate: 8.08974358974359e-05
Step 150 | epoch: 0.5780346820809249
Step 160 | loss: 1.6428447723388673
